symbol
BTC-USD
ETH-USD
BNB-USD
XRP-USD
SOL-USD
ADA-USD
DOGE-USD
AVAX-USD
MATIC-USD
LINK-USD
LTC-USD
BCH-USD
ARB-USD
OP-USD
ATOM-USD
NEAR-USD
PEPE-USD
SHIB-USD
UNI-USD
AAVE-USD
CRV-USD
MKR-USD
FIL-USD
GMX-USD
