date,description
2026-01-26,Republic Day
2026-03-04,Holi
2026-03-21,Id-Ul-Fitr (estimated)
2026-04-03,Good Friday
2026-04-14,Dr. Baba Saheb Ambedkar Jayanti
2026-05-01,Maharashtra Day
2026-08-15,Independence Day
2026-08-26,Ganesh Chaturthi (estimated)
2026-10-02,Gandhi Jayanti
2026-10-20,Diwali Laxmi Pujan (estimated)
2026-11-24,Guru Nanak Jayanti (estimated)
2026-12-25,Christmas
