symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
HINDUNILVR
ITC
SBIN
BHARTIARTL
BAJFINANCE
KOTAKBANK
LT
AXISBANK
ASIANPAINT
MARUTI
SUNPHARMA
TITAN
ULTRACEMCO
NESTLEIND
WIPRO
ADANIENT
ADANIPORTS
ONGC
NTPC
POWERGRID
M&M
TATAMOTORS
TATASTEEL
JSWSTEEL
COALINDIA
HCLTECH
TECHM
BAJAJFINSV
BAJAJ-AUTO
DRREDDY
CIPLA
DIVISLAB
GRASIM
BRITANNIA
EICHERMOT
HEROMOTOCO
HINDALCO
INDUSINDBK
SBILIFE
HDFCLIFE
BPCL
IOC
UPL
SHREECEM
APOLLOHOSP
PIDILITIND
DABUR
GODREJCP
HAVELLS
SIEMENS
DLF
GAIL
AMBUJACEM
ACC
BANKBARODA
PNB
IDFCFIRSTB
FEDERALBNK
AUBANK
CANBK
INDIGO
TRENT
ETERNAL
NAUKRI
DMART
LTIM
MPHASIS
PERSISTENT
COFORGE
TATAELXSI
POLYCAB
VOLTAS
CUMMINSIND
ABB
BEL
BHEL
HAL
IRCTC
IRFC
RVNL
BANKINDIA
CHOLAFIN
MUTHOOTFIN
LICHSGFIN
PFC
RECLTD
TATAPOWER
ADANIGREEN
ADANIENSOL
JINDALSTEL
SAIL
NMDC
LUPIN
AUROPHARMA
TORNTPHARM
ALKEM
MRF
BALKRISIND
BOSCHLTD
ABBOTINDIA
AJANTPHARM
ASTRAZEN
GLAND
GLENMARK
IPCALAB
LAURUSLABS
NATCOPHARM
PFIZER
SANOFI
SYNGENE
BIOCON
MANKIND
ZYDUSLIFE
PGHH
COLPAL
EMAMILTD
MARICO
VBL
TATACONSUM
UBL
RADICO
GODFRYPHLP
HONAUT
BALRAMCHIN
TRIVENI
TATACOMM
IDEA
GTLINFRA
TEJASNET
ROUTE
HFCL
STLTECH
TATATECH
KPITTECH
CYIENT
SONATSOFTW
OFSS
NEWGEN
INTELLECT
ZENSARTECH
BSOFT
LTTS
RATEGAIN
AFFLE
DELHIVERY
NYKAA
PAYTM
POLICYBZR
PBFINTECH
IRCON
RAILTEL
CONCOR
GMRINFRA
GMRAIRPORT
ADANIPOWER
NHPC
SJVN
CESC
TORNTPOWER
JSWENERGY
NLCINDIA
THERMAX
KEC
KALPATPOWR
SUZLON
INOXWIND
WAAREEENER
PREMIERENE
KPIGREEN
ORIENTELEC
KEI
POLYMED
APLAPOLLO
JSL
RATNAMANI
WELCORP
JINDALSAW
SHYAMMETL
MOIL
HINDCOPPER
NATIONALUM
HINDZINC
VEDL
PIIND
SRF
DEEPAKNTR
AARTIIND
ATUL
NAVINFLUOR
GUJALKALI
TATACHEM
CHAMBLFERT
COROMANDEL
GNFC
GSFC
RCF
NFL
IFFCO
KRBL
LTFOODS
AVANTIFEED
GODREJAGRO
DHANUKA
BAYERCROP
RALLIS
SUMICHEM
BASF
CENTURYPLY
GREENPLY
KAJARIACER
CERA
HSIL
SOMANYCERA
ASTRAL
SUPREMEIND
FINPIPE
NILKAMAL
WHIRLPOOL
BLUESTARCO
AMBER
DIXON
CROMPTON
VGUARD
BAJAJELEC
RELAXO
VIPIND
SAFARI
TTKPRESTIG
BATAINDIA
CAMPUS
METROBRAND
ADITBIRLA
PAGEIND
KPRMILL
WELSPUNIND
TRIDENT
VARDHMAN
GOKEX
RAYMOND
SIYARAM
ARVIND
ALOKINDS
NAHARSPING
JBCHEPHARM
CADILAHC
WOCKPHARDT
STAR
MEDPLUS
ERIS
SUVENPHAR
STRIDES
GLAXO
SANOFICONSU
LALPATHLAB
METROPOLIS
DRLAL
VIJAYA
THYROCARE
FORTIS
NARAYANHRUD
MAXHEALTH
ASTERDM
RAINBOWCH
KIMS
SHALBY
JBPHARMA
GRANULES
CAPLIPOINT
NEULANDLAB
SEQUENT
SOLARA
INDOCO
SAREGAMA
TIPS
BALAJITELE
PVRINOX
NAZARA
ZEEL
SUNTV
NETWORK18
TV18BRDCST
DBCORP
JAGRAN
HTMEDIA
HATHWAY
DEN
GTPL
SITINET
IEX
PCBL
DEEPAKFERT
GHCL
CHEMPLASTS
ALKYLAMINE
VINATIORGA
CLEAN
FINEORG
AARTIPHARM
BERGEPAINT
KANSAINER
AKZOINDIA
INDIGOPNTS
SHALIMAR
JSWPAINT
NALCO
KIOCL
GRAPHITE
HEG
TIINDIA
GRSE
MAZDOCK
COCHINSHIP
GARDENREACH
BEML
BDL
MIDHANI
CENTRALBK
IOB
UCOBANK
MAHABANK
PSB
UNIONBANK
INDIANB
KTKBANK
RBLBANK
CSBBANK
DCBBANK
SOUTHBANK
J&KBANK
KARURVYSYA
TMB
CUB
EQUITASBNK
UJJIVANSFB
FSFB
SURYODAY
BANDHANBNK
YESBANK
IDBI
BAJAJHLDNG
SHRIRAMFIN
MMFIN
M&MFIN
SUNDARMFIN
CANFINHOME
PNBHOUSING
GICHSGFIN
REPCO
IIFL
EDELWEISS
JMFINANCIL
MOTILALOFS
ANGELONE
CDSL
BSE
MCX
CAMS
KFINTECH
NUVAMA
MSTCLTD
RITES
GESHIP
SCI
GATI
TCI
VRL
ALLCARGO
MAHLOG
TVSSCS
TCIEXP
GATEWAY
SNOWMAN
TRANSPORT
JSWINFRA
GPPL
AAI
IRB
GMDCLTD
ASHOKA
NCC
KNRCON
PNCINFRA
HGINFRA
GRINFRA
JKIL
WELSPUNENT
PATELENG
SADBHAV
DBREALTY
OBEROIRLTY
GODREJPROP
PRESTIGE
BRIGADE
SOBHA
MAHLIFE
SUNTECK
LODHA
PHOENIXLTD
IBREALEST
ANANTRAJ
ARVSMART
ASHIANA
KOLTEPATIL
PURVA
APTUS
NBCC
HUDCO
ENGINERSIN
SOLARINDS
PARAS
ASTRAMICRO
DATAPATTNS
ZENTEC
CENTUM
APOLLOTYRE
CEAT
JK
TYRE
TVSSRICHAK
EXIDEIND
AMARAJABAT
HBLPOWER
SUPRAJIT
ENDURANCE
SUBROS
SANDHAR
MINDA
UNOMINDA
MOTHERSON
BHARATFORGE
SONACOMS
GABRIEL
LUMAX
FIEMIND
ASAHIINDIA
UNIPARTS
SETCO
GNA
MSUMI
JAMNAAUTO
TVSMOTOR
ASHOKLEY
FORCEMOT
SMLISUZU
VECV
ESCORTS
SONALIKA
VST
KRISHNA
RAJESHEXPO
KALYANKJIL
PCJEWELLER
THANGAMAYL
SENCO
GOLDIAM
RENAISSANCE
VAIBHAVGBL
TBZ
JMJEWELS
GOKALDAS
CENTURYTEX
SPENTEX
INDORAMA
SUTLEJTEX
RSWM
NITINSPIN
GARFIBRES
FILATEX
RUPA
LUXIND
DOLLAR
ICICIPRULI
ICICIGI
LICI
GICRE
NIACL
STARHEALTH
NIVABUPA
MAXFIN
ANANDRATHI
CHOICEIN
ISEC
5PAISA
NABARD
NHB
EXIMBANK
SIDBI
SBI
BOB
